image_name,landmark_id,x,y,type
LACM ENT 592702_R.jpg,1,254,67,junction
LACM ENT 592702_R.jpg,2,495,141,junction
LACM ENT 592702_R.jpg,3,506,212,junction
LACM ENT 592702_R.jpg,4,716,214,junction
LACM ENT 592702_R.jpg,5,376,241,junction
LACM ENT 592702_R.jpg,6,419,242,junction
LACM ENT 592702_R.jpg,7,720,271,junction
LACM ENT 592702_R.jpg,8,705,273,junction
LACM ENT 592702_R.jpg,9,441,275,junction
LACM ENT 592702_R.jpg,10,907,279,junction
LACM ENT 592702_R.jpg,11,173,298,junction
LACM ENT 592702_R.jpg,12,593,310,junction
LACM ENT 592702_R.jpg,13,449,345,junction
LACM ENT 592702_R.jpg,14,566,349,junction
