image_name,landmark_id,x,y,type
LACM ENT 592725_L.jpg,1,392,80,junction
LACM ENT 592725_L.jpg,2,408,100,junction
LACM ENT 592725_L.jpg,3,502,106,junction
LACM ENT 592725_L.jpg,4,511,106,junction
LACM ENT 592725_L.jpg,5,283,113,junction
LACM ENT 592725_L.jpg,6,285,128,junction
LACM ENT 592725_L.jpg,7,526,146,junction
LACM ENT 592725_L.jpg,8,544,146,junction
LACM ENT 592725_L.jpg,9,316,155,junction
LACM ENT 592725_L.jpg,10,259,165,junction
LACM ENT 592725_L.jpg,11,548,166,junction
LACM ENT 592725_L.jpg,12,219,178,junction
LACM ENT 592725_L.jpg,13,120,182,junction
LACM ENT 592725_L.jpg,14,311,182,junction
LACM ENT 592725_L.jpg,15,372,186,junction
LACM ENT 592725_L.jpg,16,276,189,junction
LACM ENT 592725_L.jpg,17,239,237,junction
LACM ENT 592725_L.jpg,18,211,238,junction
LACM ENT 592725_L.jpg,19,375,243,junction
LACM ENT 592725_L.jpg,20,435,247,junction
LACM ENT 592725_L.jpg,21,403,265,junction
LACM ENT 592725_L.jpg,22,273,271,junction
LACM ENT 592725_L.jpg,23,320,352,junction
