image_name,landmark_id,x,y,type
LACM ENT 592702_L.jpg,1,892,26,junction
LACM ENT 592702_L.jpg,2,881,76,junction
LACM ENT 592702_L.jpg,3,573,76,junction
LACM ENT 592702_L.jpg,4,366,86,junction
LACM ENT 592702_L.jpg,5,426,106,junction
LACM ENT 592702_L.jpg,6,822,110,junction
LACM ENT 592702_L.jpg,7,611,112,junction
LACM ENT 592702_L.jpg,8,427,117,junction
LACM ENT 592702_L.jpg,9,729,143,junction
LACM ENT 592702_L.jpg,10,185,144,junction
LACM ENT 592702_L.jpg,11,740,144,junction
LACM ENT 592702_L.jpg,12,842,152,junction
LACM ENT 592702_L.jpg,13,375,155,junction
LACM ENT 592702_L.jpg,14,455,159,junction
LACM ENT 592702_L.jpg,15,328,163,junction
LACM ENT 592702_L.jpg,16,876,190,junction
LACM ENT 592702_L.jpg,17,439,192,junction
LACM ENT 592702_L.jpg,18,395,193,junction
LACM ENT 592702_L.jpg,19,526,211,junction
LACM ENT 592702_L.jpg,20,296,239,junction
LACM ENT 592702_L.jpg,21,330,241,junction
LACM ENT 592702_L.jpg,22,518,285,junction
LACM ENT 592702_L.jpg,23,361,300,junction
LACM ENT 592702_L.jpg,24,358,307,junction
LACM ENT 592702_L.jpg,25,561,317,junction
