image_name,landmark_id,x,y,type
LACM ENT 592722_R.jpg,1,405,123,junction
LACM ENT 592722_R.jpg,2,286,129,junction
LACM ENT 592722_R.jpg,3,451,138,junction
LACM ENT 592722_R.jpg,4,397,147,junction
LACM ENT 592722_R.jpg,5,257,171,junction
LACM ENT 592722_R.jpg,6,231,173,junction
LACM ENT 592722_R.jpg,7,398,204,junction
LACM ENT 592722_R.jpg,8,300,214,junction
LACM ENT 592722_R.jpg,9,334,217,junction
LACM ENT 592722_R.jpg,10,245,230,junction
LACM ENT 592722_R.jpg,11,553,233,junction
LACM ENT 592722_R.jpg,12,287,237,junction
LACM ENT 592722_R.jpg,13,151,239,junction
LACM ENT 592722_R.jpg,14,342,240,junction
LACM ENT 592722_R.jpg,15,319,267,junction
LACM ENT 592722_R.jpg,16,543,268,junction
LACM ENT 592722_R.jpg,17,531,268,junction
LACM ENT 592722_R.jpg,18,446,284,junction
LACM ENT 592722_R.jpg,19,318,288,junction
LACM ENT 592722_R.jpg,20,438,309,junction
