image_name,landmark_id,x,y,type
LACMENT311092_L.jpg,1,719,107,junction
LACMENT311092_L.jpg,2,483,110,junction
LACMENT311092_L.jpg,3,787,110,junction
LACMENT311092_L.jpg,4,300,144,junction
LACMENT311092_L.jpg,5,831,163,junction
LACMENT311092_L.jpg,6,1222,180,junction
LACMENT311092_L.jpg,7,1285,182,junction
LACMENT311092_L.jpg,8,1322,183,junction
LACMENT311092_L.jpg,9,1298,187,junction
LACMENT311092_L.jpg,10,611,189,junction
LACMENT311092_L.jpg,11,1342,193,junction
LACMENT311092_L.jpg,12,460,196,junction
LACMENT311092_L.jpg,13,1026,202,junction
LACMENT311092_L.jpg,14,1070,215,junction
LACMENT311092_L.jpg,15,1352,219,junction
LACMENT311092_L.jpg,16,1065,235,junction
LACMENT311092_L.jpg,17,1027,236,junction
LACMENT311092_L.jpg,18,657,238,junction
LACMENT311092_L.jpg,19,653,263,junction
LACMENT311092_L.jpg,20,1076,276,junction
LACMENT311092_L.jpg,21,675,284,junction
LACMENT311092_L.jpg,22,804,291,junction
LACMENT311092_L.jpg,23,1082,291,junction
LACMENT311092_L.jpg,24,208,296,junction
LACMENT311092_L.jpg,25,432,305,junction
LACMENT311092_L.jpg,26,432,314,junction
LACMENT311092_L.jpg,27,278,331,junction
LACMENT311092_L.jpg,28,562,376,junction
LACMENT311092_L.jpg,29,773,382,junction
LACMENT311092_L.jpg,30,847,419,junction
LACMENT311092_L.jpg,31,797,427,junction
LACMENT311092_L.jpg,32,114,450,junction
