image_name,landmark_id,x,y,type
LACMENT311092_R.jpg,1,768,222,junction
LACMENT311092_R.jpg,2,799,225,junction
LACMENT311092_R.jpg,3,744,263,junction
LACMENT311092_R.jpg,4,534,267,junction
LACMENT311092_R.jpg,5,526,281,junction
LACMENT311092_R.jpg,6,406,307,junction
LACMENT311092_R.jpg,7,402,327,junction
LACMENT311092_R.jpg,8,403,338,junction
LACMENT311092_R.jpg,9,1055,352,junction
LACMENT311092_R.jpg,10,388,357,junction
LACMENT311092_R.jpg,11,778,358,junction
LACMENT311092_R.jpg,12,1112,366,junction
LACMENT311092_R.jpg,13,624,378,junction
LACMENT311092_R.jpg,14,62,397,junction
LACMENT311092_R.jpg,15,627,404,junction
LACMENT311092_R.jpg,16,1036,404,junction
LACMENT311092_R.jpg,17,1222,411,junction
LACMENT311092_R.jpg,18,1052,430,junction
LACMENT311092_R.jpg,19,1211,432,junction
LACMENT311092_R.jpg,20,428,443,junction
LACMENT311092_R.jpg,21,585,454,junction
LACMENT311092_R.jpg,22,909,460,junction
LACMENT311092_R.jpg,23,798,481,junction
LACMENT311092_R.jpg,24,273,493,junction
LACMENT311092_R.jpg,25,445,531,junction
LACMENT311092_R.jpg,26,757,534,junction
LACMENT311092_R.jpg,27,687,535,junction
LACMENT311092_R.jpg,28,1501,561,junction
LACMENT311092_R.jpg,29,1404,583,junction
