image_name,landmark_id,x,y,type
LACM ENT 592707_R.jpg,1,543,98,junction
LACM ENT 592707_R.jpg,2,543,103,junction
LACM ENT 592707_R.jpg,3,857,113,junction
LACM ENT 592707_R.jpg,4,512,148,junction
LACM ENT 592707_R.jpg,5,354,157,junction
LACM ENT 592707_R.jpg,6,832,166,junction
LACM ENT 592707_R.jpg,7,746,190,junction
LACM ENT 592707_R.jpg,8,533,217,junction
LACM ENT 592707_R.jpg,9,333,226,junction
LACM ENT 592707_R.jpg,10,295,232,junction
LACM ENT 592707_R.jpg,11,383,246,junction
LACM ENT 592707_R.jpg,12,751,249,junction
LACM ENT 592707_R.jpg,13,459,260,junction
LACM ENT 592707_R.jpg,14,409,264,junction
LACM ENT 592707_R.jpg,15,474,281,junction
LACM ENT 592707_R.jpg,16,627,305,junction
LACM ENT 592707_R.jpg,17,340,307,junction
LACM ENT 592707_R.jpg,18,398,307,junction
LACM ENT 592707_R.jpg,19,450,329,junction
LACM ENT 592707_R.jpg,20,451,339,junction
LACM ENT 592707_R.jpg,21,609,343,junction
LACM ENT 592707_R.jpg,22,207,361,junction
LACM ENT 592707_R.jpg,23,418,372,junction
