image_name,landmark_id,x,y,type
LACM ENTB 5358_L.jpg,1,350,30,junction
LACM ENTB 5358_L.jpg,2,508,38,junction
LACM ENTB 5358_L.jpg,3,815,123,junction
LACM ENTB 5358_L.jpg,4,562,146,junction
LACM ENTB 5358_L.jpg,5,716,166,junction
LACM ENTB 5358_L.jpg,6,956,167,junction
LACM ENTB 5358_L.jpg,7,753,229,junction
LACM ENTB 5358_L.jpg,8,846,253,junction
LACM ENTB 5358_L.jpg,9,478,257,junction
LACM ENTB 5358_L.jpg,10,1017,262,junction
LACM ENTB 5358_L.jpg,11,686,270,junction
LACM ENTB 5358_L.jpg,12,518,273,junction
LACM ENTB 5358_L.jpg,13,868,366,junction
LACM ENTB 5358_L.jpg,14,566,380,junction
LACM ENTB 5358_L.jpg,15,1154,387,junction
LACM ENTB 5358_L.jpg,16,1170,459,junction
LACM ENTB 5358_L.jpg,17,824,465,junction
LACM ENTB 5358_L.jpg,18,827,510,junction
LACM ENTB 5358_L.jpg,19,819,519,junction
