image_name,landmark_id,x,y,type
LACM ENTB 5367_R.jpg,1,1110,145,junction
LACM ENTB 5367_R.jpg,2,792,162,junction
LACM ENTB 5367_R.jpg,3,1121,221,junction
LACM ENTB 5367_R.jpg,4,616,226,junction
LACM ENTB 5367_R.jpg,5,544,249,junction
LACM ENTB 5367_R.jpg,6,840,252,junction
LACM ENTB 5367_R.jpg,7,439,322,junction
LACM ENTB 5367_R.jpg,8,442,325,junction
LACM ENTB 5367_R.jpg,9,668,332,junction
LACM ENTB 5367_R.jpg,10,464,333,junction
LACM ENTB 5367_R.jpg,11,1001,339,junction
LACM ENTB 5367_R.jpg,12,658,351,junction
LACM ENTB 5367_R.jpg,13,507,354,junction
LACM ENTB 5367_R.jpg,14,641,353,junction
LACM ENTB 5367_R.jpg,15,476,372,junction
LACM ENTB 5367_R.jpg,16,732,386,junction
LACM ENTB 5367_R.jpg,17,824,412,junction
LACM ENTB 5367_R.jpg,18,991,427,junction
LACM ENTB 5367_R.jpg,19,701,450,junction
LACM ENTB 5367_R.jpg,20,899,459,junction
LACM ENTB 5367_R.jpg,21,896,461,junction
LACM ENTB 5367_R.jpg,22,555,473,junction
LACM ENTB 5367_R.jpg,23,820,482,junction
