image_name,landmark_id,x,y,type
LACM ENT 592724_L.jpg,1,331,29,junction
LACM ENT 592724_L.jpg,2,156,31,junction
LACM ENT 592724_L.jpg,3,448,34,junction
LACM ENT 592724_L.jpg,4,330,39,junction
LACM ENT 592724_L.jpg,5,454,63,junction
LACM ENT 592724_L.jpg,6,292,67,junction
LACM ENT 592724_L.jpg,7,252,68,junction
LACM ENT 592724_L.jpg,8,681,77,junction
LACM ENT 592724_L.jpg,9,352,81,junction
LACM ENT 592724_L.jpg,10,540,100,junction
LACM ENT 592724_L.jpg,11,301,101,junction
LACM ENT 592724_L.jpg,12,546,101,junction
LACM ENT 592724_L.jpg,13,333,105,junction
LACM ENT 592724_L.jpg,14,220,125,junction
LACM ENT 592724_L.jpg,15,246,130,junction
LACM ENT 592724_L.jpg,16,388,131,junction
LACM ENT 592724_L.jpg,17,545,137,junction
LACM ENT 592724_L.jpg,18,375,182,junction
LACM ENT 592724_L.jpg,19,262,183,junction
LACM ENT 592724_L.jpg,20,421,209,junction
LACM ENT 592724_L.jpg,21,394,215,junction
