image_name,landmark_id,x,y,type
LACM ENT 592713_L.jpg,1,437,44,junction
LACM ENT 592713_L.jpg,2,317,63,junction
LACM ENT 592713_L.jpg,3,447,71,junction
LACM ENT 592713_L.jpg,4,318,81,junction
LACM ENT 592713_L.jpg,5,537,89,junction
LACM ENT 592713_L.jpg,6,548,89,junction
LACM ENT 592713_L.jpg,7,145,108,junction
LACM ENT 592713_L.jpg,8,343,110,junction
LACM ENT 592713_L.jpg,9,288,113,junction
LACM ENT 592713_L.jpg,10,242,120,junction
LACM ENT 592713_L.jpg,11,554,129,junction
LACM ENT 592713_L.jpg,12,335,137,junction
LACM ENT 592713_L.jpg,13,300,139,junction
LACM ENT 592713_L.jpg,14,398,152,junction
LACM ENT 592713_L.jpg,15,226,182,junction
LACM ENT 592713_L.jpg,16,255,184,junction
LACM ENT 592713_L.jpg,17,395,206,junction
LACM ENT 592713_L.jpg,18,445,225,junction
LACM ENT 592713_L.jpg,19,280,227,junction
LACM ENT 592713_L.jpg,20,436,229,junction
LACM ENT 592713_L.jpg,21,402,245,junction
