image_name,landmark_id,x,y,type
LACM ENTB 5357_R.jpg,1,549,277,junction
LACM ENTB 5357_R.jpg,2,832,278,junction
LACM ENTB 5357_R.jpg,3,823,301,junction
LACM ENTB 5357_R.jpg,4,800,323,junction
LACM ENTB 5357_R.jpg,5,471,335,junction
LACM ENTB 5357_R.jpg,6,424,336,junction
LACM ENTB 5357_R.jpg,7,794,420,junction
LACM ENTB 5357_R.jpg,8,1005,436,junction
LACM ENTB 5357_R.jpg,9,232,446,junction
LACM ENTB 5357_R.jpg,10,442,451,junction
LACM ENTB 5357_R.jpg,11,614,453,junction
LACM ENTB 5357_R.jpg,12,627,475,junction
LACM ENTB 5357_R.jpg,13,638,484,junction
LACM ENTB 5357_R.jpg,14,573,502,junction
LACM ENTB 5357_R.jpg,15,1049,520,junction
LACM ENTB 5357_R.jpg,16,640,596,junction
LACM ENTB 5357_R.jpg,17,776,620,junction
