image_name,landmark_id,x,y,type
LACM ENTB 5358_R.jpg,1,366,29,junction
LACM ENTB 5358_R.jpg,2,823,165,junction
LACM ENTB 5358_R.jpg,3,562,166,junction
LACM ENTB 5358_R.jpg,4,712,200,junction
LACM ENTB 5358_R.jpg,5,953,222,junction
LACM ENTB 5358_R.jpg,6,745,264,junction
LACM ENTB 5358_R.jpg,7,470,266,junction
LACM ENTB 5358_R.jpg,8,507,287,junction
LACM ENTB 5358_R.jpg,9,833,297,junction
LACM ENTB 5358_R.jpg,10,675,299,junction
LACM ENTB 5358_R.jpg,11,1008,320,junction
LACM ENTB 5358_R.jpg,12,547,398,junction
LACM ENTB 5358_R.jpg,13,850,411,junction
LACM ENTB 5358_R.jpg,14,1129,457,junction
LACM ENTB 5358_R.jpg,15,794,506,junction
LACM ENTB 5358_R.jpg,16,1126,535,junction
LACM ENTB 5358_R.jpg,17,795,567,junction
LACM ENTB 5358_R.jpg,18,1183,605,junction
