image_name,landmark_id,x,y,type
LACM ENTB 5357_L.jpg,1,738,177,junction
LACM ENTB 5357_L.jpg,2,597,217,junction
LACM ENTB 5357_L.jpg,3,1007,227,junction
LACM ENTB 5357_L.jpg,4,1007,236,junction
LACM ENTB 5357_L.jpg,5,1027,278,junction
LACM ENTB 5357_L.jpg,6,542,317,junction
LACM ENTB 5357_L.jpg,7,602,336,junction
LACM ENTB 5357_L.jpg,8,773,370,junction
LACM ENTB 5357_L.jpg,9,423,372,junction
LACM ENTB 5357_L.jpg,10,209,400,junction
LACM ENTB 5357_L.jpg,11,577,407,junction
LACM ENTB 5357_L.jpg,12,783,440,junction
LACM ENTB 5357_L.jpg,13,794,472,junction
LACM ENTB 5357_L.jpg,14,455,499,junction
LACM ENTB 5357_L.jpg,15,846,507,junction
LACM ENTB 5357_L.jpg,16,834,508,junction
LACM ENTB 5357_L.jpg,17,551,545,junction
LACM ENTB 5357_L.jpg,18,795,550,junction
LACM ENTB 5357_L.jpg,19,376,564,junction
LACM ENTB 5357_L.jpg,20,385,568,junction
