image_name,landmark_id,x,y,type
LACM ENTB 5335_L.jpg,1,796,151,junction
LACM ENTB 5335_L.jpg,2,693,157,junction
LACM ENTB 5335_L.jpg,3,888,207,junction
LACM ENTB 5335_L.jpg,4,1368,216,junction
LACM ENTB 5335_L.jpg,5,605,243,junction
LACM ENTB 5335_L.jpg,6,1357,246,junction
LACM ENTB 5335_L.jpg,7,740,258,junction
LACM ENTB 5335_L.jpg,8,1050,259,junction
LACM ENTB 5335_L.jpg,9,1054,259,junction
LACM ENTB 5335_L.jpg,10,256,265,junction
LACM ENTB 5335_L.jpg,11,665,277,junction
LACM ENTB 5335_L.jpg,12,474,277,junction
LACM ENTB 5335_L.jpg,13,655,279,junction
LACM ENTB 5335_L.jpg,14,1082,324,junction
LACM ENTB 5335_L.jpg,15,610,346,junction
LACM ENTB 5335_L.jpg,16,803,349,junction
LACM ENTB 5335_L.jpg,17,433,401,junction
LACM ENTB 5335_L.jpg,18,473,405,junction
LACM ENTB 5335_L.jpg,19,800,455,junction
LACM ENTB 5335_L.jpg,20,540,469,junction
LACM ENTB 5335_L.jpg,21,547,481,junction
LACM ENTB 5335_L.jpg,22,811,509,junction
LACM ENTB 5335_L.jpg,23,779,526,junction
