image_name,landmark_id,x,y,type
LACM ENT 592722_L.jpg,1,723,52,junction
LACM ENT 592722_L.jpg,2,732,70,junction
LACM ENT 592722_L.jpg,3,450,92,junction
LACM ENT 592722_L.jpg,4,324,109,junction
LACM ENT 592722_L.jpg,5,456,114,junction
LACM ENT 592722_L.jpg,6,324,130,junction
LACM ENT 592722_L.jpg,7,545,134,junction
LACM ENT 592722_L.jpg,8,552,134,junction
LACM ENT 592722_L.jpg,9,158,148,junction
LACM ENT 592722_L.jpg,10,297,155,junction
LACM ENT 592722_L.jpg,11,349,157,junction
LACM ENT 592722_L.jpg,12,253,163,junction
LACM ENT 592722_L.jpg,13,560,172,junction
LACM ENT 592722_L.jpg,14,308,182,junction
LACM ENT 592722_L.jpg,15,341,182,junction
LACM ENT 592722_L.jpg,16,399,200,junction
LACM ENT 592722_L.jpg,17,234,219,junction
LACM ENT 592722_L.jpg,18,262,221,junction
LACM ENT 592722_L.jpg,19,398,250,junction
LACM ENT 592722_L.jpg,20,277,258,junction
LACM ENT 592722_L.jpg,21,285,265,junction
LACM ENT 592722_L.jpg,22,432,274,junction
LACM ENT 592722_L.jpg,23,421,275,junction
